artwork_title,description_text,index,metadata,url
"Wine Container, Western Zhou dynasty ( 1046–771 BC ), late 11th century BC","The bulging, curvilinear silhouette of this house-shaped wine container is emphasized by prominent, hooked flanges, which also accent the surface divisions created by sectional mold casting. The elements of surface decoration—high relief monster (taotie) masks, crested and plumed birds, and dragons with reverted heads are extravagantly shaped: Fringes with elaborate hooks and quills, their curves and coils extend and replicate to symmetrically fill the divided panels of the body and lid.",5650.0,"Title
Wine Container
Origin
China
Date
1099 BC–1000 BC
Medium
Bronze
Dimensions
32.8 × 18.4 × 14.4 cm (12 7/8 × 7 1/8 × 5 5/8 in.)
Credit Line
Lucy Maud Buckingham Collection
Reference Number
1932.971",https://www.artic.edu/artworks/12634/wine-container
"Wine Container, Western Zhou dynasty ( 1046–771 BC ), late 11th century BC","Identical dedicatory inscriptions cast within the interior of the base and lid read: ""Rong zi [Son of Rong] made [this] precious sacrificial vessel."" Such inscriptions, studied as historical documents as well as calligraphic art, contribute to our understanding of the chronology and patronage of ancient Chinese bronzes.",5650.0,"Title
Wine Container
Origin
China
Date
1099 BC–1000 BC
Medium
Bronze
Dimensions
32.8 × 18.4 × 14.4 cm (12 7/8 × 7 1/8 × 5 5/8 in.)
Credit Line
Lucy Maud Buckingham Collection
Reference Number
1932.971",https://www.artic.edu/artworks/12634/wine-container
"Kente Wrapper, 1901/50, Asante","Since the early 18th century, kente cloth has been an important part of Asante royal regalia. Known for its bold, contrasting colors and dense patterns, kente has a striking visual impact when worn. Traditionally, Asante men weave kente. They begin by making a long strip, two- to three-inches wide, on a horizontal loom. When finished, the strip is cut into sections of equal length and sewn together edge to edge to make a complete cloth. The heaviest and most elaborate garments may join as many as 24 strips. Though once restricted to royal use, today kente is more accessible to the public. It is often worn on special religious or social occasions, including weddings, child-naming ceremonies, burials, and funerals.",5669.0,"Culture
Asante
Title
Kente Wrapper
Origin
Ghana
Date
Made 1901–1950
Medium
Rayon, weft-faced plain weave with supplementary and brocading weft patterning
Dimensions
323.3 × 212.8 cm (127 1/4 × 83 5/8 in.)
Credit Line
Gift of Mr. and Mrs. David C. Ruttenberg
Reference Number
1986.1043",https://www.artic.edu/artworks/65187/kente-wrapper
"Three Persons Viewing the Gladiator by Candlelight, 1769, William Pether","Before Valentine Green and Richard Earlom, William Pether created major mezzotints from several of the 14 paintings Joseph Wright of Derby exhibited in London between 1765 and 1772. Many of these were “candlelight pictures,” a genre exceedingly well suited to mezzotint tones. Yet Pether waited for a successful review of the 1766 painting for A Philosopher Giving a Lecture on the Orrery before he began the laborious mezzotint process, completing it only in 1768. The print sold so well that Valentine Green saw a lucrative opportunity and absconded with the mezzotint commission that could have been Pether’s for Experiment on the Air Pump.",5670.0,"Artist
William Pether
Title
Three Persons Viewing the Gladiator by Candlelight
Origin
England
Date
Published 1769
Medium
Mezzotint in black on off-white laid paper
Dimensions
482 × 555 mm (image/plate); 489 × 565 mm (sheet)
Credit Line
Mary S. Adams, William McCallin McKee Memorial and Print and Drawing Anonymous Funds
Reference Number
1995.31",https://www.artic.edu/artworks/137059/three-persons-viewing-the-gladiator-by-candlelight
"Tetradrachm (Coin) Portraying Alexander the Great Wearing the Head of the Nemean Lion as a Helmet, 336/323 BC, Ancient Greek","Herakles was the consummate hero. Temples across Greece and South Italy were dedicated to him, the son of Zeus, and Romans, who knew him as Hercules, celebrated him as a role model. With brute force, determination, and just enough cleverness, Herakles completed his famous Twelve Labors to become immortal. Herakles is readily identifiable by his knobby club and lion’s skin. The latter refers to his First Labor, in which he killed a magical beast who was ravaging the town of Nemea. The lion’s invincible hide made him immune to weapons, so Herakles strangled him and took his pelt.",5677.0,"Culture
Ancient Greek
Title
Tetradrachm (Coin) Portraying Alexander the Great Wearing the Head of the Nemean Lion as a Helmet
Origin
Amphipolis
Date
336 BC–323 BC
Medium
Silver
Dimensions
Diam. 2.5 cm
Credit Line
Gift of William F. Dunham
Reference Number
1920.709",https://www.artic.edu/artworks/199227/tetradrachm-coin-portraying-alexander-the-great-wearing-the-head-of-the-nemean-lion-as-a-helmet
"Tetradrachm (Coin) Portraying Alexander the Great Wearing the Head of the Nemean Lion as a Helmet, 336/323 BC, Ancient Greek","When Alexander the Great (r. 336–323 BC) became king, he issued coins that were purposely similar to popular coins picturing Herakles. Claiming that the god was his ancestor, Alexander portrayed himself as the hero wearing the lion’s skin as a helmet.",5677.0,"Culture
Ancient Greek
Title
Tetradrachm (Coin) Portraying Alexander the Great Wearing the Head of the Nemean Lion as a Helmet
Origin
Amphipolis
Date
336 BC–323 BC
Medium
Silver
Dimensions
Diam. 2.5 cm
Credit Line
Gift of William F. Dunham
Reference Number
1920.709",https://www.artic.edu/artworks/199227/tetradrachm-coin-portraying-alexander-the-great-wearing-the-head-of-the-nemean-lion-as-a-helmet
"United by Music, Ming dynasty (1368–1644), 15th/16th century, Zhou Wenju","This all-female ensemble is an imperial or aristocratic orchestra. Singly or in pairs, the musicians play the large drum, clapper, oboe, vertical flute, transverse flute, hourglass drum, mouth organ, gong-chime, long zither, angular harp, and lute. Such instruments accurately represent those played by the mid- Tang dynasty (eighth century), as known today from surviving artifacts and textural descriptions of the Imperial Conservatory of Music. The audience for this concert strikingly resembles court figures depicted in The Night Revels of Han Xizai, a painting in the Palace Museum, Beijing, attributed to the tenth century painter Gu Hongzhong. Gu Hongzhong was a contemporary of Zhou Wenju, to whom this handscroll was originally ascribed. The artist responsible for this fifteenth-century painting apparently drew upon a number of earlier artistic models, creating a composite image that recalled the work of past centuries.",5681.0,"Artist
Zhou Wenju
Title
United by Music
Origin
China
Date
1401–1425
Medium
Handscroll; ink and colors on silk
Dimensions
41.9 × 184.2 cm
Credit Line
Kate S. Buckingham Endowment Fund
Reference Number
1950.1370",https://www.artic.edu/artworks/72380/united-by-music
"Turkish Cavalier in Combat, c. 1818, Jean Louis André Théodore Géricault","Soldiers and horses were among Géricault’s favorite subjects, symbolizing energy, emotion, and individuality. In its laser-like focus on one cavalry soldier and his charging horse in the heat of battle, this drawing’s romantic intensity departs radically from the Classical restraint of many works of the period.
Géricault exoticized his horseman, giving him African features and clothing him in the garb of an Ottoman mamluk, a caste of Muslim slave soldiers who fought for their indepe-dence in Egypt in the early 1800s. The artist was politically progressive for his time and championed the cause of liberty with this image. However, mamluks were most often of Turkic, Coptic, or Circassian descent, and Géricault’s depiction may not have been historically accurate.",5684.0,"Artist
Jean Louis André Théodore Géricault
Title
Turkish Cavalier in Combat
Origin
France
Date
1813–1823
Medium
Brush and brown wash, heightened with white gouache over black chalk, with blue wash on brown laid paper
Dimensions
280 × 220 mm
Credit Line
The Regenstein Collection
Reference Number
1994.178",https://www.artic.edu/artworks/129844/turkish-cavalier-in-combat
"Tetradrachm (Coin) Portraying Demetrios I of Macedonia, 289/288 BC, Ancient Greek","Obverse: Head of king diademed to right with small bull’s horn
Reverse: Poseidon to left, with foot on rock",5690.0,"Culture
Ancient Greek
Title
Tetradrachm (Coin) Portraying Demetrios I of Macedonia
Origin
Macedonia
Date
Struck 289 BC–288 BC
Medium
Silver
Inscriptions
Reverse: ΒΑΣΙΛΕΩΣ ΔΗΜΗΤΡΙΟΥ ""King Demetrius""
Dimensions
Diam. 2.9 cm; 17.02 g
Credit Line
Gift of Martin A. Ryerson
Reference Number
1922.4909",https://www.artic.edu/artworks/5726/tetradrachm-coin-portraying-demetrios-i-of-macedonia
"The Calumny of Apelles, 1572, Cornelis Cort","Cornelis Cort’s engraving recreates a lost painting by the ancient Greek artist Apelles, an allegory of slander known only from a detailed description by the ancient historian Lucian. Renaissance artists including Sandro Botticelli, Andrea Mantegna, Albrecht Dürer, and even Pieter Brueghel produced drawings and paintings based on the historian Lucian’s descriptions in homage to various artists of antiquity. Dürer was even called “the Apelles of the North.” Cort’s engraving includes an illusionistic heavily sculptured frame, which highlights prints’ ability to mimic paintings as objects, as well as revive their iconography.",5693.0,"Artist
Cornelis Cort
Title
The Calumny of Apelles
Origin
Holland
Date
Made 1572
Medium
Engraving in black on ivory laid paper
Dimensions
408 x 556 mm (image); 420 x 557 mm (plate/sheet, trimmed slightly within platemark)
Credit Line
Print and Drawing Fund and Stanley Field Endowment
Reference Number
1994.249",https://www.artic.edu/artworks/131389/the-calumny-of-apelles
