artwork_title,description_text,index,url
"Interior at Nice, 1919 or 1920, Henri Matisse","Beginning in 1917, Henri Matisse spent most winters in Nice, on the Mediterranean coast. He often stayed at the Hôtel Mediterranée, a Rococo-style building he later fondly termed ""faked, absurd, delicious!"" Interior at Nice is perhaps the most ambitious of a series of images the painter created using the hotel as a backdrop, all done in the realistic style to which he had returned around this time. The pink-tiled floors and yellow, arabesque-patterned wall-paper are present in many of these works, as are the skirted dressing table, oval mirror, shuttered French window, and balcony. The balcony in fact was one of the artist’s favorite themes, allowing him to link internal and external space into a continuum structured by patterns and modulated light.",100.0,https://www.artic.edu/artworks/2816/interior-at-nice
"Interior at Nice, 1919 or 1920, Henri Matisse","Additionally, Matisse often included a young woman somewhere in the scene. Here, his favorite model at the time, Antoinette Arnoux, plays an important role. Not only is she the subject of the painting on the wall, but the composition’s high viewpoint and plunging, wide-angled perspective draw all attention to her as she sits on the balcony, her back to the sea. Framed by shimmering curtains, she gazes directly at the viewer.",100.0,https://www.artic.edu/artworks/2816/interior-at-nice
"Interior at Nice, 1919 or 1920, Henri Matisse","Pinks, honeyed grays, silvery blues, and smoky corals all create a gently pulsating atmosphere of light and radiant warmth. The overpainting and loose, fluid brushstrokes make the artist’s process—his painterly choices—palpable to the viewer. These visible marks fix the momentary act of painting, just as the painting fixes on canvas the fleeting atmosphere of an afternoon in Nice.",100.0,https://www.artic.edu/artworks/2816/interior-at-nice
"At Mouquin’s, 1905, William James Glackens","In this vivid painting, William Glackens portrayed the members of his circle at their favorite meeting place, the New York restaurant Mouquin’s. Jeanne Mouquin, the proprietor’s wife, shares a drink with James B. Moore, a wealthy playboy and restaurateur, while the artist’s wife, Edith, and art critic Charles Fitzgerald are reflected in the mirror behind them. Glackens used vivid brushwork to describe Jeanne Mouquin’s dress, while depicting her with an intent gaze that imbues the scene with tension and mystery. By combining portraiture and everyday scenes, the artist helped usher in a mode of painting suited to the uncertainties and new social activities of modern urban life.",101.0,https://www.artic.edu/artworks/15401/at-mouquin-s
"The Captive Slave, 1827, John Philip Simpson","A studio assistant to the painter Sir Thomas Lawrence and a portraitist in his own right, John Simpson painted this compelling image of a man in shackles as a powerful abolitionist statement. Simpson’s model was the freeborn American Ira Aldridge, a celebrated Shakespearean actor and the first black man to play Othello on the London stage. The Captive Slave highlights his gifts as a tragic actor as well as responding to—and even transcending—the historical moment to which it belongs.",102.0,https://www.artic.edu/artworks/193664/the-captive-slave
"The Captive Slave, 1827, John Philip Simpson","Compositionally, Simpson likely drew inspiration from Christian iconography of suffering and martyred saints. Here, Aldridge’s expressive upward gaze—modeled on representations of saintly devotion—conveys a yearning for freedom. Despite his manacled hands, Aldridge holds his body upright, and his loose, flame-red garment lends him a nobility that belies his role as a slave in the galley of a ship from Africa. Simpson conveys the rough texture of the robe through his loose, bold brushstrokes, a technique his teacher Lawrence used to different effect for his depictions of luxurious silks and satins. The glint of white in the eye was a distinguishing characteristic of Simpson’s portraiture, and his artful application of highlights is noticeable on the shackles and fingernails.",102.0,https://www.artic.edu/artworks/193664/the-captive-slave
"The Captive Slave, 1827, John Philip Simpson","In 1827, when The Captive Slave was exhibited at the Royal Academy of Arts in London, the accompanying catalogue included William Cowper’s antislavery poem ""Charity"" (1782). By the mid-1820s, the moral and political debates surrounding abolitionism were at the forefront of public discourse in England as well as in the rest of Europe and America. Combining late Romanticism with the new interest in social realism, The Captive Slave conveys the passion of Simpson’s abolitionist beliefs at a critical juncture in English history.",102.0,https://www.artic.edu/artworks/193664/the-captive-slave
"…And the Home of the Brave, 1931, Charles Demuth","Charles Demuth’s still lifes and architectural studies display astonishing technical skill and testify to the refinement with which he manipulated abstract design. In his paintings of the early 1930s, the artist often interpreted structures in his hometown of Lancaster, Pennsylvania. Obviously not a literal representation of that location , … And the Home of the Brave—with its compressed and discontinuous space, emphasis on two- dimensional patterns, and rearrangement of observed facts into a new pictorial reality—is derived from Cubism. The accent on American urban and commercial forms acknowledges Demuth’s roots: specifically, the double water towers at the apex of the composition are adapted from those atop a Lancaster cigar factory, while the number 72 at the lower edge of the painting refers to a state highway—the Manheim Pike—running north from town.",103.0,https://www.artic.edu/artworks/64276/and-the-home-of-the-brave
"…And the Home of the Brave, 1931, Charles Demuth","Demuth derived the title from the last line of “The Star-Spangled Banner,” which was adopted as the national anthem in 1931, the year in which he executed the painting. The ambiguity suggested by the title is characteristic of the artist’s ironic temperament. Like other American artists and intellectuals of the early twentieth century, he was simultaneously attracted to the vitality of contemporary civilization and the beauty and power of the machine, and conflicted about the inhuman aspects and utilitarian coarseness of the expanding industrial landscape of the United States.",103.0,https://www.artic.edu/artworks/64276/and-the-home-of-the-brave
"The Philosopher’s Conquest, 1913–14, Giorgio de Chirico","The work of Giorgio de Chirico represents an unexpected form of classicism in early avant-garde painting. This canvas, one of six in a series, combines a Mediterranean cityscape with still-life objects. Familiar elements appear in many of de Chirico’s paintings like pieces of a mysterious puzzle: a classical arcade, oddly oversize artichokes, a cannon and cannonballs, a clock, an industrial brick chimney, a monumental tower, a running train, and a square-rigged sailing ship. Here the stage set for this extraordinary juxtaposition of objects is an Italian piazza, virtually deserted except for the menacing shadowy figures outside the edge of the scene.",104.0,https://www.artic.edu/artworks/30839/the-philosopher-s-conquest
