artwork_title,description_text,index,url
"Chicago, 1950, Harry Callahan","One of the most important figures in modern American photography, Harry Callahan was a humble and intuitive artist. He was largely self-taught, and as a teacher at Chicago’s Institute of Design (1946–61), he continued to learn by assigning photographic problems to students and then solving them himself. Influenced by both the classicism of Ansel Adams and the experimentalism of László Moholy-Nagy, Callahan fused formal precision and exploration with personal subjectivity. He photographed a wide range of subjects—female pedestrians lost in thought on Chicago’s streets; architectural facades; his wife, Eleanor; and weeds and grasses in snow. Chicago, one of his best-known pictures, shows trees covered in snow along Chicago’s Lake Shore Drive. Although Callahan captured all of the detail available in the bark and snow in his negative, he purposely printed this image in high contrast to emphasize the black-and-white forms of the trees against the stark backdrop. With a graphic sensibility typical of the Institute of Design, Callahan reminds the viewer that a photograph is first and foremost an arrangement of tones and shapes on a piece of paper.",81.0,https://www.artic.edu/artworks/100089/chicago
"Male Figure (Nkisi Nkondi), Early/mid–19th century, Vili","The term nkisi refers to spirit-invested objects that were empowered with medicinal and magical ingredients called bilongo. In the case of this male figure, the bilongo are enclosed in the cap on the head and in the mirror-sealed resin packet on the abdomen. The name nkondi refers to the figure’s ability to hunt down and punish wrongdoers. A nail or a blade was driven into the figure to prompt the inhabiting spirit at every consultation.",82.0,https://www.artic.edu/artworks/151358/male-figure-nkisi-nkondi
"Hang Up, 1966, Eva Hesse","Eva Hesse produced an extraordinarily original, influential body of work in her short career, pioneering the use of eccentric materials and idiosyncratic sculptural forms. Hesse considered Hang Up among her most important works because it was the first to achieve the level of “absurdity or extreme feeling” she intended. Produced at the height of Minimalism and the Pop Art movement but belonging to neither, the piece was fabricated by her friend the artist Sol LeWitt, and her husband, Tom Doyle, who wrapped the wood stretcher with bed sheets and attached the cord-covered steel tubing. Sealed with acrylic, the object is subtly shaded from pale to dark ash gray. It is an ironic sculpture about painting, privileging the medium’s marginal features: the frame and its hanging device, represented by the cord that protrudes awkwardly into the gallery. The title might be understood as a humorous instruction for the sculpture’s display but also acts on a more psychological level. Collapsing the space between the viewer and the artwork, Hang Up creates a sense of disorientation and toys with our ability to discern a clear demarcation between painting and sculpture.",83.0,https://www.artic.edu/artworks/71396/hang-up
"Woman before an Aquarium, 1921–23, Henri Matisse","Henri Matisse was fascinated by the cultures of North Africa and the Middle East. In 1903 he visited an Islamic art exhibition at the Musée des Arts Décoratifs, Paris; in 1910 he traveled to Munich for a major display of Islamic objects and then to Spain to see Moorish architecture. He also collected brilliantly colored and richly ornamented textiles, pottery, and tiles. It was, however, the physical experience of these lands that proved to have the greatest impact on Matisse’s vision and creativity. In May 1906 and for long periods between January 1912 and February 1913, he traveled to North Africa. There, he came to understand the unique quality of light and its effect on the perception of color and space.",84.0,https://www.artic.edu/artworks/27984/woman-before-an-aquarium
"Woman before an Aquarium, 1921–23, Henri Matisse","Even a decade later, while Matisse lived in the southern French city of Nice, these experiences would continue to transform his work. In Woman before an Aquarium, the paneled screen and goldfish are pictorial elements drawn from Matisse’s Moroccan journeys. Moreover, the artist’s own transformation—the “new rhythm” of his inner vision that resulted from his travels—was responsible for the particular luminosity, cool palette, and intimate effect of this canvas. Matisse was entranced by the golden light and sea-soaked atmosphere of Nice, and his paintings from this period demonstrate his newfound interest in an impressionistic naturalism that was not a rejection of his earlier work but rather an effort to infuse his previous style with a “human element.”",84.0,https://www.artic.edu/artworks/27984/woman-before-an-aquarium
"Little Harbor in Normandy, spring 1909, Georges Braque","In early 1908, Georges Braque began an artistic collaboration with Pablo Picasso. From 1909 until Braque was mobilized for World War I, they worked in creative dialogue, breaking down and reformulating the representation of objects and their structure. In doing so, they pioneered one of the most radical artistic revolutions of the twentieth century, Cubism. Little Harbor in Normandy is the first fully realized example of Braque’s early Cubist style. He described the English Channel coast in severe geometries and a sober palette, reduced in range and intensity to pale shades of color. His compressed treatment of space and use of a shifting perspective seems to propel the two sailboats forward to the front edges of the picture. To further energize the scene, the artist added a fringe of whitecaps to the sea and dashes of clouds across the sky. His repetitive, striated modeling of form, inspired by his study of the art of Paul Cézanne, increased the rigid tension of this canvas. Documentation suggests that Little Harbor in Normandy was exhibited in Paris in March 1909 at the Salon des Indépendants, making this painting the first major Cubist work to be shown in such a prominent venue.",85.0,https://www.artic.edu/artworks/109330/little-harbor-in-normandy
"Cotton Pickers, 1945, Thomas Hart Benton","The American Regionalist Thomas Hart Benton painted Cotton Pickers based on notes of a trip he made to Georgia in the late 1920s. He depicted the dignity of the cotton pickers in the face of backbreaking labor and intense summer heat, rendering the dry fields and the working bodies in a sinuous, curvilinear style. Benton held progressive views on race, social relations, and politics, and he believed ardently that African American history was central to the understanding of American culture. Cotton sharecropping, an agricultural system that developed after the Civil War, allowed landowners to rent land to poor farmers in return for a share of the crops. Because sharecropping kept agricultural laborers impoverished, it became a symbol of a racially and economically unjust system. Cotton cultivation became one of Benton’s most important subjects, especially as the rapid industrialization of the nation during World War II changed the American landscape.",86.0,https://www.artic.edu/artworks/217201/cotton-pickers
"The Praying Jew, 1923 (one of two versions after a 1914 composition), Marc Chagall","Marc Chagall had a prolific career that spanned more than eight decades of the twentieth century. While his work often exhibits influences of the contemporary movements he encountered in France and Germany, his subjects and decorative lyricism reveal his love of Russian folk art and his roots in Hasidic Judaism.",88.0,https://www.artic.edu/artworks/23700/the-praying-jew
"The Praying Jew, 1923 (one of two versions after a 1914 composition), Marc Chagall","In his 1931 autobiography, My Life, Chagall related how, while visiting Vitebsk (present-day Belarus), the city in which he was born, he realized that the traditions in which he had grown up were fast disappearing and that he needed to document them. He paid a beggar to pose in his father’s prayer clothes and then painted him, limiting his palette primarily to black and white, as befit the solemnity of the subject. This portrait is noteworthy for the simplicity of its execution; nonetheless, its striking patterns, abstract background, and the slightly distorted features of the model demonstrate Chagall’s absorption of modern trends, especially Cubism.",88.0,https://www.artic.edu/artworks/23700/the-praying-jew
"The Praying Jew, 1923 (one of two versions after a 1914 composition), Marc Chagall","Chagall often painted variants or replicas of works he particularly loved. The Art Institute’s Praying Jew is one of three versions of this composition. He painted the original canvas in 1914, and when he traveled back to Paris in 1923, he took this painting with him. He learned upon his return that much of the work he had left in France had been lost during World War I. This prompted him to make two versions of The Praying Jew before it left his studio: they are the present work and another in the Ca’ Pesaro, Venice; the original is now in the Kunstmuseum, Basel. The later compositions differ from the original only in small details.
— Entry, Master Paintings in the Art Institute of Chicago, 2013, p.121.",88.0,https://www.artic.edu/artworks/23700/the-praying-jew
