artwork_title,description_text,index,metadata,url
"Samson Rending the Lion, 1496/97, Albrecht Dürer","One of his earliest woodblocks, the intricate and sinuous lines of Samson and the Lion have generally been assumed to have been carved by Dürer himself.",8451.0,"Artist
Albrecht Dürer
Title
Samson Rending the Lion
Origin
Germany
Date
Made 1491–1501
Medium
Woodcut in black on ivory laid paper
Dimensions
382 x 276 mm
Credit Line
Restricted gift of Katharine Kuh
Reference Number
1964.73",https://www.artic.edu/artworks/20431/samson-rending-the-lion
"Ballad Singer at a Shrine of the Virgin, 1720/25, Alessandro Magnasco","A Genoese artist who worked mostly in Milan, Alessandro Magnasco epitomizes the transition between 17th- and 18th-century art in northern Italy. Rarely did his highly individual style find such expression as in this drawing, in which reddish-brown chalk wash heightened with white approximates the agitated strokes of the heavily applied impasto in his oil paintings.",8456.0,"Artist
Alessandro Magnasco
Title
Ballad Singer at a Shrine of the Virgin
Origin
Italy
Date
1720–1725
Medium
Brush and brown gouache and brush and brown wash, with traces of brown chalk, heightened with white chalk, over black chalk, on blue laid paper (discolored to pale brownish-gray)
Dimensions
466 x 370 mm
Credit Line
Helen Regenstein Collection
Reference Number
1962.585",https://www.artic.edu/artworks/14797/ballad-singer-at-a-shrine-of-the-virgin
"Qur’an Stand (Marufaa), Early/mid–20th century, Swahili","Among the distinctive traits of Swahili culture is the production of finely crafted props for reading and studying the Qur’an. These objects have been made for scribes, wealthy merchants, and their families. Swahili Qur’an stands, used to hold the holy book as it is read and studied, range from simple to exceedingly ornate. Like many, this well-worn example is made of two pieces of wood that are hinged together, opening into an X-shaped cradle. It features decorative shaping at the legs, notched embellishment along the upper edges, and incised floral and geometric patterns that are reminiscent of embroidery.",8461.0,"Culture
Swahili
Title
Qur'an Stand (Marufaa)
Origin
Kenya
Date
Made 1900–1975
Medium
Wood
Dimensions
Approx. 17.8 x 30.5 cm (7 x 12 in.)
Credit Line
Gift of John Reuter-Pacyna and Jay Zerbe
Reference Number
2005.466",https://www.artic.edu/artworks/186646/qur-an-stand-marufaa
"Tureen with Cover and Stand, c. 1787/90, Chinese export porcelain","This tureen is from a service owned by Elias Morgan (1770–1812) of Connecticut. The Morgan set, displaying the coat of arms originally used by his Welsh ancestors, is one of the few armorial services made for the American market.",8462.0,"Artist
Chinese export porcelain
Title
Tureen with Cover and Stand
Origin
China
Date
c. 1787–1790
Medium
Porcelain
Dimensions
Tureen: 21 × 32.1 × 21 cm (8 1/4 × 12 5/8 × 8 1/4 in.); Stand: 5.4 × 33 × 25.1 cm (2 1/8 × 13 × 9 7/8 in.)
Credit Line
Anonymous gift in memory of Chauncey McCormick
Reference Number
1956.774a-c",https://www.artic.edu/artworks/3582/tureen-with-cover-and-stand
"Mirror, 2nd century AD, Ancient Roman","Artemis (the Roman Diana), or a Roman lady with divine fantasies, after her bath in a rustic, woodland setting, is the subject of the tondo in relief on the back of this Roman hand mirror. Her cloak is draped over the rocks on which she sits, and she holds the end wrapped around a small hand mirror in her raised left hand, a divine celebration of the uses of the mirror in a Roman household. The landscape in front of her, to the right, recalls the paintings and reliefs from houses around the Bay of Naples before the eruption of Mount Vesuvius in A.D. 79. The quiver of the goddess leans against the base of a garlanded altar with a small herm on top. A second terminal figure, Priapis, the god of gardens and fertility, tilts back while facing to the right on the ledge at the right. The bovine skull in the right foreground suggests the sacrifice after a successful hunt.",8466.0,"Culture
Ancient Roman
Title
Mirror
Origin
Roman Empire
Date
101 AD–200 AD
Medium
Reflective disk: bronze; repoussé disk: brass
Dimensions
Diameter: 11.8 cm (4 11/16 in.); Depth: 0.86 cm (3/8 in.)
Credit Line
James W. and Marilynn Alsdorf Collection
Reference Number
1985.1042a-b",https://www.artic.edu/artworks/104999/mirror
"Revolutionary Calavera, c. 1910, José Guadalupe Posada","José Guadalupe Posada was the most prolific and influential broadside illustrator working in late-19th- and early-20th-century Mexico, and the Taller de Gráfica Popular considered him their artistic forebear and a model of the popular, socially concerned artist. Posada illustrated thousands of colorful, eye-catching broadsides—cheap, ephemeral handbills directed at urban working- and middle-class audiences—that addressed current events, social and political scandals, and curiosities.",8467.0,"Artist
José Guadalupe Posada
Title
Revolutionary Calavera
Origin
México
Date
1905–1915
Medium
Photo-relief etching (drawing style) in black on green wove paper
Dimensions
400 x 300 mm
Credit Line
William McCallin McKee Memorial Endowment
Reference Number
1943.1288",https://www.artic.edu/artworks/49387/revolutionary-calavera
"Revolutionary Calavera, c. 1910, José Guadalupe Posada","Posada’s posthumous reputation as an artist committed both to Mexican traditions and to popular political causes largely rests on Day of the Dead broadsides such as this one, which celebrates the gleeful, destructive power of the Mexican Revolution in the form of calaveras, the satirical skeleton figures popularized by Posada. The Taller de Gráfica Popular emulated this tradition, leveraging the critical edge, humor, and manic energy embodied by the calavera figure to address contemporary issues.",8467.0,"Artist
José Guadalupe Posada
Title
Revolutionary Calavera
Origin
México
Date
1905–1915
Medium
Photo-relief etching (drawing style) in black on green wove paper
Dimensions
400 x 300 mm
Credit Line
William McCallin McKee Memorial Endowment
Reference Number
1943.1288",https://www.artic.edu/artworks/49387/revolutionary-calavera
"Revolutionary Calavera, c. 1910, José Guadalupe Posada","Español:
José Guadalupe Posada fue el ilustrador de hojas volantes más prolífico e influyente del México de finales del siglo XIX y principios del XX. El Taller de Gráfica Popular lo consideró su precursor artístico y modelo del artista popular con consciencia social. Posada ilustró miles de hojas volantes coloridas y llamativas. De bajo costo y efímeras, estas hojas estaban dirigidas a las clases medias y trabajadoras e informaban sobre hechos del momento, escándalos políticos y sociales y rarezas.",8467.0,"Artist
José Guadalupe Posada
Title
Revolutionary Calavera
Origin
México
Date
1905–1915
Medium
Photo-relief etching (drawing style) in black on green wove paper
Dimensions
400 x 300 mm
Credit Line
William McCallin McKee Memorial Endowment
Reference Number
1943.1288",https://www.artic.edu/artworks/49387/revolutionary-calavera
"Revolutionary Calavera, c. 1910, José Guadalupe Posada","La fama póstuma de Posada, en cuanto artista comprometido con las tradiciones mexicanas y con las causas políticas populares, descansa mayormente en sus hojas volantes para el Día de Muertos, tales como ésta. Aquí se celebra la jubilosa fuerza destructiva de la Revolución Mexicana en la forma de calaveras, los satíricos esqueletos popularizados por Posada. El Taller de Gráfica Popular replicó esta tradición al utilizar ventajosamente el ángulo crítico, el humor y la energía maniaca representada en la figura de la calavera para abordar temas de su época.",8467.0,"Artist
José Guadalupe Posada
Title
Revolutionary Calavera
Origin
México
Date
1905–1915
Medium
Photo-relief etching (drawing style) in black on green wove paper
Dimensions
400 x 300 mm
Credit Line
William McCallin McKee Memorial Endowment
Reference Number
1943.1288",https://www.artic.edu/artworks/49387/revolutionary-calavera
"NO, 2003, Sharon Lockhart","Since the late 1990s, Los Angeles–based artist Sharon Lockhart has become widely known for her visually reductive, rigorously conceptual films. As a student, she was drawn to the work of Chantal Ackerman, Yvonne Rainer, Michael Snow, and Andy Warhol because of the way these artists negotiated the stasis of the photographic image with the narrative flow of cinema. Although candid in appearance, her films slowly reveal themselves to be the result of elaborate preparation and extensive collaboration with her subjects.
Filmed in a continuous take with a fixed-angle camera, NO captures Masa and Yoko Ito, a Japanese farming couple, systematically mulching a plot of land. For over half an hour, they arrange tidy piles of straw and then disperse them over a field with minimalist, almost sculptural precision. Lockhart presents, documentary-style, a temporal sequence of events, but the film resists any clear narrative. Viewers share in a sense of discovery by watching the performance, yet they are actually being offered a sort of hyper-reality: the artist creates expectations that do not seem to correspond to the disproportionate attention she has paid to her mundane subject. Lockhart described her process in the following way: “I organized NO around the optics of seeing … I had the farmers make piles of hay in the reverse perspective of the camera, following the camera’s field of vision… . After working from background to foreground to make the piles, the farmers come in and slowly spread the hay over just that portion of the field revealed by the camera, from foreground to background, as if they are covering a canvas.” As the figures move through horizontal fields of color in a choreographed fashion, Lockhart’s film appears almost as a living landscape painting.
This work is inspired by No-no ikebana, a freestyle form of Japanese flower arranging. The practice is based upon the cycles and rules of agriculture, using fruits and vegetables directly from the farm. As Lockhart has explained, “It highlights a relationship to nature and farming that is somewhat contrary to the overly mechanized large-scale agribusiness prevalent in the United States.”",8472.0,"Artist
Sharon Lockhart
Title
NO
Origin
United States
Date
2003
Medium
16mm color film, optical sound; 32:30 min. loop Edition number three of six
Credit Line
Restricted gift of C. Bradford Smith and Donald L. Davis; Contemporary Art Discretionary and The Orbit funds
Reference Number
2004.482
Copyright
© 2003 Sharon Lockhart.",https://www.artic.edu/artworks/184112/no
